Date,Open,High,Low,Close,Volume (BTC)
2014-01-10,823.0,860.64,799.98,854.33,7864.28611587
2014-01-11,853.1,915.0,853.0,899.0,11150.7756645
2014-01-12,898.68,902.0,821.1,827.24,10807.5994815
2014-01-13,827.24,844.2,784.0,818.47,13610.3465042
2014-01-14,817.74,836.99,802.3,819.0,4399.81974416
2014-01-15,819.0,850.25,812.0,844.0,7240.54259687
2014-01-16,844.0,847.68,807.11,818.49,4491.66957824
2014-01-17,818.39,820.22,765.03,807.0,11067.0310523
2014-01-18,804.98,820.0,794.93,809.14,3685.25634391
2014-01-19,807.22,844.88,794.41,835.9,7216.19592125
2014-01-20,836.0,844.99,815.01,828.0,4998.14298368
2014-01-21,828.0,834.17,813.6,822.8,2830.83326488
2014-01-22,822.8,824.13,803.1,818.0,2838.49730144
2014-01-23,818.51,823.0,802.52,810.14,2902.84886886
2014-01-24,806.97,809.14,767.23,775.0123,11431.5986454
2014-01-25,775.13,817.0,775.0,804.73,4533.87748229
2014-01-26,805.5,836.7318,794.64,812.5,7504.75325474
2014-01-27,812.7,824.9999,726.5,749.03,17078.6899469
2014-01-28,748.1,814.5,741.214,784.69,12323.0204227
2014-01-29,784.42,805.0,781.8,794.731,3693.85073046
2014-01-30,794.75,812.65489,770.0,802.5,8227.922324
2014-01-31,802.5,809.6746,793.0,805.22,3845.2661044
2014-02-01,804.8,829.0,801.0,812.6,4683.98258739
2014-02-02,812.6,827.2,811.0,814.0,3020.76446787
2014-02-03,812.05,815.2,798.5,805.31499,3441.93276006
2014-02-04,805.31499,814.4,795.2,800.01,3356.81323306
2014-02-05,800.03,807.48,777.85,780.0,5899.293445
2014-02-06,784.0,829.0,678.03,761.0,20666.9490545
2014-02-07,760.61,763.07,620.0,700.0,44285.0916634
2014-02-08,707.0,723.97,667.0,678.0,9871.90444146
2014-02-09,678.00000001,728.89934978,666.53,694.0,11875.0958709
2014-02-10,693.5,703.0,100.0,687.05035,43220.4754366
2014-02-11,689.0,721.35,631.2,678.0,38957.6416893
2014-02-12,675.31,682.5,642.0,656.01,12016.6556998
2014-02-13,656.01,658.9899,601.2,606.01,18086.8590284
2014-02-14,607.0,710.0,535.0,661.13,53159.6771344
2014-02-15,661.13,668.4,633.3,654.99,10455.8962711
2014-02-16,652.5,670.9999,585.0,625.0,16919.6276223
2014-02-17,625.0,664.0,611.0,633.99,15491.5208367
2014-02-18,633.51,651.3,611.304999,628.1999,8419.17553776
2014-02-19,625.81,636.85,617.89,627.45,4663.93948006
2014-02-20,627.45,629.0,541.2,542.42,29093.4419646
2014-02-21,542.42,588.48969696,530.0,579.99,25206.6398398
2014-02-22,579.9,619.0,562.0,614.399,14483.1195748
2014-02-23,614.389,644.93,600.2,607.0,17310.7608775
2014-02-24,606.9999,608.4,505.7511,517.0,38797.4189613
2014-02-25,519.0,549.0,400.0,544.8899,88914.8257667
